"Story","Title","Result","Date","Stability","Duration (s)"
"Task Management","Add Task Management Success","SUCCESS","2023-07-06T10:49:27.5089598+07:00[Asia/Bangkok]","0.0","9.08"
"Task Management","Edit Task Management","SUCCESS","2023-07-06T10:49:36.6546624+07:00[Asia/Bangkok]","0.0","7.97"
